CaseID;CaseText
1;Case 1
2;Case 2
3;Case 3
4;Case 4
5;Case 5
6;Case 6
7;Case 7
8;Case 8
9;Case 9
10;Case 10
11;Case 11
12;Case 12
13;Case 13
14;Case 14
15;Case 15
16;Case 16
17;Case 17
18;Case 18
19;Case 19
20;Case 20
21;Case 21
22;Case 22
23;Case 23
24;Case 24
25;Case 25
26;Case 26
27;Case 27
28;Case 28
29;Case 29
30;Case 30
31;Case 31
32;Case 32
33;Case 33
34;Case 34
35;Case 35
36;Case 36
37;Case 37
38;Case 38
39;Case 39
40;Case 40
41;Case 41
42;Case 42
43;Case 43
44;Case 44
45;Case 45
46;Case 46
47;Case 47
48;Case 48
49;Case 49
50;Case 50
51;Case 51
52;Case 52
53;Case 53
54;Case 54
55;Case 55
56;Case 56
57;Case 57
58;Case 58
59;Case 59
60;Case 60
61;Case 61
62;Case 62
63;Case 63
64;Case 64
65;Case 65
66;Case 66
67;Case 67
68;Case 68
69;Case 69
70;Case 70
71;Case 71
72;Case 72
73;Case 73
74;Case 74
75;Case 75
76;Case 76
77;Case 77
78;Case 78
79;Case 79
80;Case 80
81;Case 81
82;Case 82
83;Case 83
84;Case 84
85;Case 85
86;Case 86
87;Case 87
88;Case 88
89;Case 89
90;Case 90
91;Case 91
92;Case 92
93;Case 93
94;Case 94
